FYNR,Fylke,#,Navn,Parti,Tilrådingens punkt A,Lovens overskrift og loven i sin helhet,Vara for:,Twitter,Facebook,Blog,Bilde
5,Oppland,89,Aksel Hagen,SV,Mot,Mot
3,Oslo,90,Marit Nybakk,A,For,For
3,Oslo,91,Per-Kristian Foss,H,For,For
3,Oslo,92,Siv Jensen,FrP,Mot,Mot
3,Oslo,93,Jan Bøhler,A,For,For
3,Oslo,94,Heikki Holmås,SV,Mot,Mot
3,Oslo,95,Ine M. Eriksen Søreide,H,For,For
3,Oslo,96,Marianne Marthinsen,A,For,For,,http://www.twitter.com/mariannemar,http://www.facebook.com/marianne.marthinsen
3,Oslo,97,Christian Tybring-Gjedde,FrP,Mot,Mot
3,Oslo,98,Hadia Tajik,A,For,For,,http://twitter.com/hadiatajik,http://www.facebook.com/pages/Hadia-Tajik/169998233019817,http://www.hadia.no/
3,Oslo,99,Trine Skei Grande,V,Mot,Mot
3,Oslo,100,Michael Tetzschner,H,Mot,Mot
3,Oslo,101,Håkon Haugli,A,For,For,Jens Stoltenberg,http://www.twitter.com/jensstoltenberg,http://www.facebook.com/pages/Jens-Stoltenberg/21646763580,http://jensstoltenberg.no/
3,Oslo,102,Peter N. Myhre,FrP,Mot,Mot
3,Oslo,103,Akhtar Chaudhry,SV,Mot,Mot
3,Oslo,104,Truls Wickholm,A,For,For
3,Oslo,105,Nikolai Astrup,H,Mot,Mot
3,Oslo,106,Hans Olav Syversen,KrF,Mot,Mot
11,Rogaland,107,Ketil Solvik-Olsen,FrP,Mot,Mot
11,Rogaland,108,Tore Nordtun,A,For,For
11,Rogaland,109,Bent Høie,H,For,For
11,Rogaland,110,Solveig Horne,FrP,Mot,Mot
11,Rogaland,111,Eirin Sund,A,For,For,,,http://www.facebook.com/people/Eirin-Kristin-Sund/614251050
11,Rogaland,112,Dagfinn Høybråten,KrF,Mot,Mot
11,Rogaland,113,Siri A. Meling,H,For,For
11,Rogaland,114,Øyvind Vaksdal,FrP,Mot,Mot
11,Rogaland,115,Laila Thorsen,A,For,For
11,Rogaland,116,Geir Pollestad,Sp,Mot,Mot
11,Rogaland,117,Arve Kambe,H,For,For
11,Rogaland,118,Bente Thorsen,FrP,Mot,Mot
11,Rogaland,119,Hallgeir H. Langeland,SV,Mot,Mot
14,Sogn og Fjordane,120,Ingrid Heggø,A,For,For,,http://www.twitter.com/IngridHeggo,http://www.facebook.com/people/Ingrid-Bjorketun-Heggo/856790580
14,Sogn og Fjordane,121,Knut Magnus Olsen,Sp,Mot,Mot
14,Sogn og Fjordane,122,Åge Starheim,FrP,Mot,Mot
14,Sogn og Fjordane,123,Tor Bremer,A,For,For,,http://www.twitter.com/torbremer,http://www.facebook.com/profile.php?id=577256400
14,Sogn og Fjordane,124,Bjørn Lødemel,H,For,For
8,Telemark,125,Terje Aasland,A,For,For,,http://www.twitter.com/terjeaa,http://www.facebook.com/terje.aasland
8,Telemark,126,Bård Hoksrud,FrP,Mot,Mot
8,Telemark,127,Lene Vågslid,A,For,For,,http://www.twitter.com/lenev,http://nn-no.facebook.com/lene.vaagslid,http://www.lenevagslid.blogspot.com/
8,Telemark,128,Torbjørn Røe Isaksen,H,Mot,Mot
8,Telemark,129,Odin Adelsten Bohmann,A,For,For
8,Telemark,130,Dag Sele,KrF,Mot,Mot
19,Troms,131,Bendiks H. Arnesen,A,For,For
19,Troms,132,Øyvind Korsberg,FrP,Mot,Mot
19,Troms,133,Anne Marit Bjørnflaten,A,For,For,,http://www.twitter.com/annemaritb,http://www.facebook.com/people/Anne-Marit-Bjornflaten/593277552
19,Troms,134,Elisabeth Aspaker,H,For,For
19,Troms,135,Per-Willy Amundsen,FrP,Mot,Mot
19,Troms,136,Tove Karoline Knutsen,A,For,For,,,http://www.facebook.com/tovekarolineknutsen
