person_id,personal_id,initials,first_name,last_name,position_no,position_en,party_id,period_id,constituency_code_new,constituency_name,rep_id,sup_id
2202,646,PERE,Per,Espeli,Lektor,Master (Norw. <em>'lektor'</em>),71,138,8900,Telemark fylke,,1
2333,2134,PES,Per,Sandberg,"Industriarbeider, tillitsmann","Industrial worker, union official",81,142,17900,Nord-Trøndelag fylke,6,
2333,2134,PES,Per,Sandberg,Prosessoperatør/industriarbeider,Process operator / industrial worker,81,146,17900,Nord-Trøndelag fylke,5,
2333,2134,PES,Per,Sandberg,Prosessoperatør/industriarbeider,Process operator / industrial worker,81,150,16900,Sør-Trøndelag fylke,3,
2333,2134,PES,Per,Sandberg,Prosessoperatør/industriarbeider,Process operator / industrial worker,81,154,16900,Sør-Trøndelag fylke,3,
10064,,,Per,Aasness,Gårdbruker,Farmer,31,71,4900,Hedmark fylke,,1
19048,1224,PEHØ,Per,Høybråten,Kommunalrådssekretær,Secretary to the city commisioner,51,118,3900,Oslo,,1
26134,915,PEHA,Per,Hagen,,,71,94,6900,Buskerud fylke,,1
26196,1203,PEHV,Per,Hveem,,,41,114,5900,Oppland fylke,,1
26415,2428,PESE,Per,Svendsen,,,21,114,16900,Sør-Trøndelag fylke,,4
27217,2778,PERØ,Per,Østvold,Nestleder,Vice-chairman,14,146,3900,Oslo,,5
30150,5004234,PBR,Per,Brovold,"Lærer, småbruker","Teacher, smallholder",14,146,16900,Sør-Trøndelag fylke,,4
30239,3927,PANI,Per,Aase-Nilsen,Overrettssakfører,Barrister,21,102,15900,Møre og Romsdal fylke,,6
30239,3927,PANI,Per,Aase-Nilsen,Overrettssakfører,Barrister,21,106,15900,Møre og Romsdal fylke,,6
30259,3827,PETN,Per,Tønder,Pastor,Pastor,21,98,19900,Troms fylke,,4
30259,3827,PETN,Per,Tønder,Sokneprest,Vicar,21,102,19900,Troms fylke,,4
30259,3827,PETN,Per,Tønder,Sokneprest,Vicar,21,106,19900,Troms fylke,,4
30278,3808,PRTO,Per,Todal,Sjømannsskolelærer,Teacher at a navigation school,31,106,15900,Møre og Romsdal fylke,,4
30784,5004626,PKS,Per,Skjærvik,,,21,150,16900,Sør-Trøndelag fylke,,5
831,2599,PEUT,Per Alfred,Utsi,Distriktssekretær i LO,District secretary in the Norwegian Confederation,21,114,20900,Finnmark fylke,,1
