last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Aspaker,Elisabeth Ragnhild,1962-,pol rådg,UFD,2002-2004,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Aspaker,Elisabeth Ragnhild,1962-,stsekr,HD,2004,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Aspaker,Elisabeth Ragnhild,1962-,stsekr,HOD,2004-2005,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Aspaker,Elisabeth Ragnhild,1962-,str,FKD,2013,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Aspaker,Elisabeth Ragnhild,1962-,str,NFD (fi),2014-,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Astrup,Christian,1909-1983,fung min,SOS NS,1944-1945,"Astrup, Christian (1909-1983)fung min SOS NS 1944-1945",
Astrup,Hans Rasmus,1831-1898,str,ABD,1885-1887,"Astrup, Hans Rasmus (1831-1898) str ABD 1885-1887, str S 1887-1888",
Astrup,Hans Rasmus,1831-1898,str,S,1887-1888,"Astrup, Hans Rasmus (1831-1898) str ABD 1885-1887, str S 1887-1888",
Aubert,Ludvig Mariboe Benjamin,1838-1896,str,JD,1884,"Aubert, Ludvig Mariboe Benjamin (1838-1896) str JD 1884",
Aukrust,Åsmund Grøver,1985-,vik pol rådg,KUD,2011,"Aukrust, Åsmund Grøver (1985-)vik pol rådg KUD 2011",
Aune,Ingrid Johansen,1986-,vik pol rådg,FD,2012,"Aune, Ingrid Johansen (1986-)vik pol rådg FD 2012, vik pol rådg UD (u) 2012-2013",
Aune,Ingrid Johansen,1986-,vik pol rådg,UD (u),2012-2013,"Aune, Ingrid Johansen (1986-)vik pol rådg FD 2012, vik pol rådg UD (u) 2012-2013",
Aune,Leif Jørgen,1925-,stsekr,KAD,1971-1972,"Aune, Leif Jørgen (1925-) stsekr KAD 1971-1972, str KAD 1973-1976, str KAD 1976-1978",
Aune,Leif Jørgen,1925-,str,KAD,1973-1976,"Aune, Leif Jørgen (1925-) stsekr KAD 1971-1972, str KAD 1973-1976, str KAD 1976-1978",
Aune,Leif Jørgen,1925-,str,KAD,1976-1978,"Aune, Leif Jørgen (1925-) stsekr KAD 1971-1972, str KAD 1973-1976, str KAD 1976-1978",
Aure,Aud Inger,1942-,str,JD,1997-1999,"Aure, Aud Inger (1942-) str JD 1997-1999",
Aursand,Svein,1954-,pol rådg,LD,1995-1996,"Aursand, Svein (1954-) pol rådg LD 1995-1996",
Austad,Tore,1935-,str,KUD,1981-1983,"Austad, Tore (1935-) str KUD 1981-1983",
Austrheim,John,1912-1995,str,SD,1972-1973,"Austrheim, John (1912-1995) str SD 1972-1973",
Axelsen,Geir,1965-,stsekr,FIN,2005-2009,"Axelsen, Geir (1965-) stsekr FIN 2005-2009",
Ayhan,Dilek,1979-,stsekr,NHD,,"Ayhan, Dilek (1979-)stsekr NHD, JD, FAD og FKD 2013, stsekr NFD (nh) 2014-",
Ayhan,Dilek,1979-,error,,,"Ayhan, Dilek (1979-)stsekr NHD, JD, FAD og FKD 2013, stsekr NFD (nh) 2014-",
Ayhan,Dilek,1979-,FAD og,FKD,2013,"Ayhan, Dilek (1979-)stsekr NHD, JD, FAD og FKD 2013, stsekr NFD (nh) 2014-",
Ayhan,Dilek,1979-,stsekr,NFD (nh),2014-,"Ayhan, Dilek (1979-)stsekr NHD, JD, FAD og FKD 2013, stsekr NFD (nh) 2014-",
Bache-Wiig,Jens,1880-1965,adm,HD og ForsD,1940,"Bache-Wiig, Jens (1880-1965) adm HD og ForsD 1940",
Bachke,Ole Andreas,1830-1890,str,JD,1879-1880,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
Bachke,Ole Andreas,1830-1890,str,S,1880,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
