last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Møllerstad,Gro,1960-,pers rådg,SOS,1986-1989,"Møllerstad, Gro (1960-) pers rådg SOS 1986-1989, pers sekr SOS 1989",
Møllerstad,Gro,1960-,pers sekr,SOS,1989,"Møllerstad, Gro (1960-) pers rådg SOS 1986-1989, pers sekr SOS 1989",
Mörner,Adolf Göran,1773-1838,stm/u s-n,,1837,"Mörner, Adolf Göran (1773-1838) stm/u s-n 1837-38",
Mörner,Carl Carlsson,1775-1821,sth,,1816,"Mörner, Carl Carlsson (1775-1821) sth 1816-1818",
Nadheim,Erik,1954-,pers sekr,JD,1992,"Nadheim, Erik (1954-) pers sekr JD 1992, pol rådg JD 1992-1995",
Nadheim,Erik,1954-,pol rådg,JD,1992-1995,"Nadheim, Erik (1954-) pers sekr JD 1992, pol rådg JD 1992-1995",
Nakken,Johannes Martin,1950-,stsekr,FID,1997-2000,"Nakken, Johannes Martin (1950-) stsekr FID 1997-2000",
Nalum,Fredrik Anton Martin Olsen,1854-1935,str,ABD,1916-1920,"Nalum, Fredrik Anton Martin Olsen (1854-1935) str ABD 1916-1920, str KUD 1921-1923, str LD 1921",
Nalum,Fredrik Anton Martin Olsen,1854-1935,str,KUD,1921-1923,"Nalum, Fredrik Anton Martin Olsen (1854-1935) str ABD 1916-1920, str KUD 1921-1923, str LD 1921",
Nalum,Fredrik Anton Martin Olsen,1854-1935,str,LD,1921,"Nalum, Fredrik Anton Martin Olsen (1854-1935) str ABD 1916-1920, str KUD 1921-1923, str LD 1921",
Navarsete,Liv Signe,1958-,pol rådg,SHD (sos),1999-2000,"Navarsete, Liv Signe (1958-) pol rådg SHD (sos) 1999-2000, str SD 2005-2009,str KRD 2009-2013",
Navarsete,Liv Signe,1958-,str,SD,2005-2009,"Navarsete, Liv Signe (1958-) pol rådg SHD (sos) 1999-2000, str SD 2005-2009,str KRD 2009-2013",
Navarsete,Liv Signe,1958-,str,KRD,2009-2013,"Navarsete, Liv Signe (1958-) pol rådg SHD (sos) 1999-2000, str SD 2005-2009,str KRD 2009-2013",
Nerheim,André,1976-,pol rådg,AD,2013,"Nerheim, André (1976-)pol rådg AD 2013",
Nerheim,Inger Karin,1954-,stsekr,NOE (nær),1996,"Nerheim, Inger Karin (1954-) stsekr NOE (nær) 1996, stsekr NHD 1997",
Nerheim,Inger Karin,1954-,stsekr,NHD,1997,"Nerheim, Inger Karin (1954-) stsekr NOE (nær) 1996, stsekr NHD 1997",
Ness,Randi,1983-,pol rådg,FIN,2009-2013,"Ness, Randi (1983-)pol rådg FIN 2009-2013",
Ness,Steinar Gudmund,1959-,stsekr,MD,1989-1990,"Ness, Steinar Gudmund (1959-) stsekr MD 1989-1990, pol rådg KD 1997-1999, pol rådg KRD 1999",
Ness,Steinar Gudmund,1959-,pol rådg,KD,1997-1999,"Ness, Steinar Gudmund (1959-) stsekr MD 1989-1990, pol rådg KD 1997-1999, pol rådg KRD 1999",
Ness,Steinar Gudmund,1959-,pol rådg,KRD,1999,"Ness, Steinar Gudmund (1959-) stsekr MD 1989-1990, pol rådg KD 1997-1999, pol rådg KRD 1999",
Nessheim,Erik,1939-,stsekr,SMK,1981-1986,"Nessheim, Erik (1939-) stsekr SMK 1981-1986",
Nielsen,Carsten Tank,1818-1892,kst str,MarD,1884,"Nielsen, Carsten Tank (1818-1892) kst str MarD 1884",
Nielsen,Sivert Andreas,1916-2004,stsekr,FD,1955-1958,"Nielsen, Sivert Andreas (1916-2004) stsekr FD 1955-1958",
Nielsen,Sven,1883-1958,kons str,,1940,"Nielsen, Sven (1883-1958) kons str 1940-1945, kst sjef for FD 1940, str HD 1945, medl regj deleg 1945 - sjef for ABD og SkD",
Nielsen,Sven,1883-1958,kst sjef for,FD,1940,"Nielsen, Sven (1883-1958) kons str 1940-1945, kst sjef for FD 1940, str HD 1945, medl regj deleg 1945 - sjef for ABD og SkD",
Nielsen,Sven,1883-1958,str,HD,1945,"Nielsen, Sven (1883-1958) kons str 1940-1945, kst sjef for FD 1940, str HD 1945, medl regj deleg 1945 - sjef for ABD og SkD",
Nielsen,Sven,1883-1958,medl regj deleg 1945 - sjef for,ABD og SkD,,"Nielsen, Sven (1883-1958) kons str 1940-1945, kst sjef for FD 1940, str HD 1945, medl regj deleg 1945 - sjef for ABD og SkD",
Nilsen,Arne,1924-,str,KAD,1978-1979,"Nilsen, Arne (1924-) str KAD 1978-1979, str SOS 1979-1981, str SOS 1981",
Nilsen,Arne,1924-,str,SOS,1979-1981,"Nilsen, Arne (1924-) str KAD 1978-1979, str SOS 1979-1981, str SOS 1981",
Nilsen,Arne,1924-,str,SOS,1981,"Nilsen, Arne (1924-) str KAD 1978-1979, str SOS 1979-1981, str SOS 1981",
Nilsen,Harry,1941-,pers sekr,FD,1976-1978,"Nilsen, Harry (1941-) pers sekr FD 1976-1978",
Nilsen,Peder,1846-1921,str,ABD,1893-1895,"Nilsen, Peder (1846-1921) str ABD 1893-1895, str ABD 1895-1897, str S 1897",
Nilsen,Peder,1846-1921,str,ABD,1895-1897,"Nilsen, Peder (1846-1921) str ABD 1893-1895, str ABD 1895-1897, str S 1897",
Nilsen,Peder,1846-1921,str,S,1897,"Nilsen, Peder (1846-1921) str ABD 1893-1895, str ABD 1895-1897, str S 1897",
Nilssen,Magnus,1871-1947,str,ABD,1928,"Nilssen, Magnus (1871-1947) str ABD 1928",
Nissen,Rasmus Tønder,1822-1882,str,KUD,1874-1876,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str int,S mai,1875,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str int,S juli,1875,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str,S,1876-1877,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str,KUD,1877-1880,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str,KUD,1880,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str,S,1880- 1881,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str int,S,1881,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nissen,Rasmus Tønder,1822-1882,str,KUD,1881-1882,"Nissen, Rasmus Tønder (1822-1882) str KUD 1874-1876, str int S mai 1875, str int S juli 1875, str S 1876-1877, str KUD 1877-1880, str KUD 1880, str S 1880- 1881, str int S 1881, str KUD 1881-1882",
Nistad,Astrid Marie,1938-,stsekr,OED,1986-1989,"Nistad, Astrid Marie (1938-) stsekr OED 1986-1989",
Norbom,Jon Ola Hauger,1923-,stsekr,FIN,1967-1969,"Norbom, Jon Ola Hauger (1923-) stsekr FIN 1967-1969, str FIN 1972-1973",
Norbom,Jon Ola Hauger,1923-,str,FIN,1972-1973,"Norbom, Jon Ola Hauger (1923-) stsekr FIN 1967-1969, str FIN 1972-1973",
Nord,Mette,1959-,stsekr,SMK,2012-2013,"Nord, Mette (1959-)stsekr SMK 2012-2013",
Nordbø,Eldrid,1942-,pers sekr,SOS,1971,"Nordbø, Eldrid (1942-) pers sekr SOS 1971, stsekr SMK 1986-1989, str UD (hs) 1990-1991",
Nordbø,Eldrid,1942-,stsekr,SMK,1986-1989,"Nordbø, Eldrid (1942-) pers sekr SOS 1971, stsekr SMK 1986-1989, str UD (hs) 1990-1991",
Nordbø,Eldrid,1942-,str,UD (hs),1990-1991,"Nordbø, Eldrid (1942-) pers sekr SOS 1971, stsekr SMK 1986-1989, str UD (hs) 1990-1991",
Nordbø,Rasmus Mathias,1915-1983,stsekr,LD,1948-1951,"Nordbø, Rasmus Mathias (1915-1983) stsekr LD 1948-1951, str LD 1951-1955",
Nordbø,Rasmus Mathias,1915-1983,str,LD,1951-1955,"Nordbø, Rasmus Mathias (1915-1983) stsekr LD 1948-1951, str LD 1951-1955",
Nordén,Robert Fredrik,1926-1998,stsekr,SD,1960-1961,"Nordén, Robert Fredrik (1926-1998) stsekr SD 1960-1961",
Nordheim-Larsen,Kari,1948-,str,UD (bist),1992-1996,"Nordheim-Larsen, Kari (1948-) str UD (bist) 1992-1996, også kst sjef for BFD 1993-1994, str UD (bist) 1996-1997",
Nordheim-Larsen,Kari,1948-,også kst sjef for BFD,,1993,"Nordheim-Larsen, Kari (1948-) str UD (bist) 1992-1996, også kst sjef for BFD 1993-1994, str UD (bist) 1996-1997",
Nordheim-Larsen,Kari,1948-,str,UD (bist),1996-1997,"Nordheim-Larsen, Kari (1948-) str UD (bist) 1992-1996, også kst sjef for BFD 1993-1994, str UD (bist) 1996-1997",
Nordli,Odvar,1927-,str,KAD,1971-1972,"Nordli, Odvar (1927-) str KAD 1971-1972, stm 1976-1981",
Nordli,Odvar,1927-,stm,,1976,"Nordli, Odvar (1927-) str KAD 1971-1972, stm 1976-1981",
Nordlund,Britt Skinstad,1941-,pers sekr,FID,1989-1990,"Nordlund, Britt Skinstad (1941-) pers sekr FID 1989-1990",
Nordrum,Ivar Arne,1962-,pol rådg,OED,1999-2000,"Nordrum, Ivar Arne (1962-) pol rådg OED 1999-2000",
Nordrum,Siv,1958-,stsekr,SMK,2001-2005,"Nordrum, Siv (1958-) stsekr SMK 2001-2005",
Nordset,Oddbjørn Karmhus,1946-,stsekr,LD,1983-1985,"Nordset, Oddbjørn Karmhus (1946-) stsekr LD 1983-1985",
Nordås,Janne Sjelmo,1964-,stsekr,KRD,2007-2009,"Nordås, Janne Sjelmo (1964-)stsekr KRD 2007-2009",
Noreide,Venke,1965-,pol rådg,FID,2001,"Noreide, Venke (1965-) pol rådg FID 2001",
Norheim,Hege Marie,1967-,stsekr,SMK,2000,"Norheim, Hege Marie (1967-) stsekr SMK 2000, stsekr FIN 2000-2001",
Norheim,Hege Marie,1967-,stsekr,FIN,2000-2001,"Norheim, Hege Marie (1967-) stsekr SMK 2000, stsekr FIN 2000-2001",
Norman,Victor Danielsen,1946-,str,AAD,2001-2004,"Norman, Victor Danielsen (1946-) str AAD 2001-2004",
Normann,Lisbeth,1960-,stsekr,HOD,2013-,"Normann, Lisbeth (1960-)stsekr HOD 2013-",
Norstein,Ingrid,1958-,pers sekr,LD,1990-1992,"Norstein, Ingrid (1958-) pers sekr LD 1990-1992, pol rådg LD 1992-1996",
Norstein,Ingrid,1958-,pol rådg,LD,1992-1996,"Norstein, Ingrid (1958-) pers sekr LD 1990-1992, pol rådg LD 1992-1996",
Norstrand,Idar Olav,1915-1986,str,LPD,1964-1965,"Norstrand, Idar Olav (1915-1986) str LPD 1964-1965",
Norvik,Erling Esbensen,1928-1998,stsekr,SMK,1981-1984,"Norvik, Erling Esbensen (1928-1998) stsekr SMK 1981-1984",
Norvik,Harald,1946-,pers sekr,SMK,1976-1979,"Norvik, Harald (1946-) pers sekr SMK 1976-1979, stsekr OED 1979-1981, stsekr OED 1981",
Norvik,Harald,1946-,stsekr,OED,1979-1981,"Norvik, Harald (1946-) pers sekr SMK 1976-1979, stsekr OED 1979-1981, stsekr OED 1981",
Norvik,Harald,1946-,stsekr,OED,1981,"Norvik, Harald (1946-) pers sekr SMK 1976-1979, stsekr OED 1979-1981, stsekr OED 1981",
error,,,,,,"Nygaard, Grete Horntvedt - se Horntvedt, Grete",
Nygaardsvold,Johan,1879-1952,str,LD,1928,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nygaardsvold,Johan,1879-1952,stm,,1935,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nygaardsvold,Johan,1879-1952,også sjef for,ABD,1935-1939,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nygaardsvold,Johan,1879-1952,også kst sjef for,FD,1939,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nygaardsvold,Johan,1879-1952,også kst sjef for,FIN,1940,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nygaardsvold,Johan,1879-1952,også kst sjef for,FIN,1940,"Nygaardsvold, Johan (1879-1952) str LD 1928, stm 1935-1945, også sjef for ABD 1935-1939,også kst sjef for FD 1939, også kst sjef for FIN 1940, også kst sjef for FIN 1940",
Nyhus,Per,1927-1989,stsekr,SOS,1978-1979,"Nyhus, Per (1927-1989) stsekr SOS 1978-1979",
Nyhus,Stian,1972-,vik pol rådg,HOD,2011,"Nyhus, Stian (1972-)vik pol rådg HOD 2011",
Nymo,Synnøve Pauline,1962-,pers sekr,KVD,1986-1987,"Nymo, Synnøve Pauline (1962-) pers sekr KVD 1986-1987, pers sekr SOS 1990-1992",
Nymo,Synnøve Pauline,1962-,pers sekr,SOS,1990-1992,"Nymo, Synnøve Pauline (1962-) pers sekr KVD 1986-1987, pers sekr SOS 1990-1992",
Nysom,Hans Hein Theodor,1845-1903,str,ABD og RevD,1891,"Nysom, Hans Hein Theodor (1845-1903) str ABD og RevD 1891, str ABD 1891-1893, str S 1898-1899, str ABD 1899-1900, str S 1900",
Nysom,Hans Hein Theodor,1845-1903,str,ABD,1891-1893,"Nysom, Hans Hein Theodor (1845-1903) str ABD og RevD 1891, str ABD 1891-1893, str S 1898-1899, str ABD 1899-1900, str S 1900",
Nysom,Hans Hein Theodor,1845-1903,str,S,1898-1899,"Nysom, Hans Hein Theodor (1845-1903) str ABD og RevD 1891, str ABD 1891-1893, str S 1898-1899, str ABD 1899-1900, str S 1900",
Nysom,Hans Hein Theodor,1845-1903,str,ABD,1899-1900,"Nysom, Hans Hein Theodor (1845-1903) str ABD og RevD 1891, str ABD 1891-1893, str S 1898-1899, str ABD 1899-1900, str S 1900",
Nysom,Hans Hein Theodor,1845-1903,str,S,1900,"Nysom, Hans Hein Theodor (1845-1903) str ABD og RevD 1891, str ABD 1891-1893, str S 1898-1899, str ABD 1899-1900, str S 1900",
Næsheim,Arne,1964-,pol rådg,NOE (en),1996,"Næsheim, Arne (1964-) pol rådg NOE (en) 1996, pol rådg NHD 1997",
Næsheim,Arne,1964-,pol rådg,NHD,1997,"Næsheim, Arne (1964-) pol rådg NOE (en) 1996, pol rådg NHD 1997",
Næsheim,Sikke,1963-,pol rådg,LD,2000-2001,"Næsheim, Sikke (1963-) pol rådg LD 2000-2001",
Næsje,Jørgen,1972-,stsekr,FIN,2013-,"Næsje, Jørgen (1972-)stsekr FIN 2013-",
Nålsund,Jon Ivar,1942-2003,pers sekr,FIN,1978-1979,"Nålsund, Jon Ivar (1942-2003) pers sekr FIN 1978-1979, stsekr IND 1988-1989, stsekr UD (hs) 1990-1993",
Nålsund,Jon Ivar,1942-2003,stsekr,IND,1988-1989,"Nålsund, Jon Ivar (1942-2003) pers sekr FIN 1978-1979, stsekr IND 1988-1989, stsekr UD (hs) 1990-1993",
Nålsund,Jon Ivar,1942-2003,stsekr,UD (hs),1990-1993,"Nålsund, Jon Ivar (1942-2003) pers sekr FIN 1978-1979, stsekr IND 1988-1989, stsekr UD (hs) 1990-1993",
error,,,,,,"Odden, Anne (1966-)kst stsekr SMK 2006",
Odegard,Jan Tore,1940-,stsekr,FD,1971-1972,"Odegard, Jan Tore (1940-) stsekr FD 1971-1972",
Offenberg,Egil,1899-1975,str,FGD,1945,"Offenberg, Egil (1899-1975) str FGD 1945",
Oftedal,Lars,1877-1932,str,SOS,1921-1922,"Oftedal, Lars (1877-1932) str SOS 1921-1922, str HD 1922-1923, str SOS 1924-1926, str HD 1928-1931",
Oftedal,Lars,1877-1932,str,HD,1922-1923,"Oftedal, Lars (1877-1932) str SOS 1921-1922, str HD 1922-1923, str SOS 1924-1926, str HD 1928-1931",
Oftedal,Lars,1877-1932,str,SOS,1924-1926,"Oftedal, Lars (1877-1932) str SOS 1921-1922, str HD 1922-1923, str SOS 1924-1926, str HD 1928-1931",
Oftedal,Lars,1877-1932,str,HD,1928-1931,"Oftedal, Lars (1877-1932) str SOS 1921-1922, str HD 1922-1923, str SOS 1924-1926, str HD 1928-1931",
Oftedal,Sven,1905-1948,str,SOS,1945,"Oftedal, Sven (1905-1948) str SOS 1945, str SOS 1945-1948",
Oftedal,Sven,1905-1948,str,SOS,1945-1948,"Oftedal, Sven (1905-1948) str SOS 1945, str SOS 1945-1948",
Oksvik,Olav Berntsen,1887-1958,kst str,LD,1947-1948,"Oksvik, Olav Berntsen (1887-1958) kst str LD 1947-1948",
error,,,,,,"Olav - senere Olav V (1903-1991) kronprins, midl reg 1945",
error,,,,,,Olav V (1903-1991)konge 1957-1991,
Olsen,Arne Michael,1939-,pers sekr,KAD,1973-1975,"Olsen, Arne Michael (1939-) pers sekr KAD 1973-1975",
Olsen,Geir Straume,1964-,pol rådg,LD,2002-2004,"Olsen, Geir Straume (1964-) pol rådg LD 2002-2004, pol rådg LMD 2004, stsekr FIN 2005",
Olsen,Geir Straume,1964-,pol rådg,LMD,2004,"Olsen, Geir Straume (1964-) pol rådg LD 2002-2004, pol rådg LMD 2004, stsekr FIN 2005",
Olsen,Geir Straume,1964-,stsekr,FIN,2005,"Olsen, Geir Straume (1964-) pol rådg LD 2002-2004, pol rådg LMD 2004, stsekr FIN 2005",
Olsen,Jan Henry Tungeland,1956-,str,FID,1992-1996,"Olsen, Jan Henry Tungeland (1956-) str FID 1992-1996",
Olsen,Johan Ulrik,1885-1963,str,KAD,1948-1951,"Olsen, Johan Ulrik (1885-1963) str KAD 1948-1951, str KAD 1951-1955, str KAD 1955-1958",
Olsen,Johan Ulrik,1885-1963,str,KAD,1951-1955,"Olsen, Johan Ulrik (1885-1963) str KAD 1948-1951, str KAD 1951-1955, str KAD 1955-1958",
Olsen,Johan Ulrik,1885-1963,str,KAD,1955-1958,"Olsen, Johan Ulrik (1885-1963) str KAD 1948-1951, str KAD 1951-1955, str KAD 1955-1958",
Olsen,Kathrine Pernille,1981-,pol rådg,NFD (fi),2014-,"Olsen, Kathrine Pernille (1981-)pol rådg NFD (fi) 2014-",
Olsen,Odd Rikard,1947-,stsekr,ND,1989-1990,"Olsen, Odd Rikard (1947-) stsekr ND 1989-1990",
Olsen,Olai Johan,1851-1920,kst str,FIN,1888,"Olsen, Olai Johan (1851-1920) kst str FIN 1888, str FIN 1888-1889, kst str JD 1888, str S 1896-1897, str ID 1897-1898",
Olsen,Olai Johan,1851-1920,str,FIN,1888-1889,"Olsen, Olai Johan (1851-1920) kst str FIN 1888, str FIN 1888-1889, kst str JD 1888, str S 1896-1897, str ID 1897-1898",
Olsen,Olai Johan,1851-1920,kst str,JD,1888,"Olsen, Olai Johan (1851-1920) kst str FIN 1888, str FIN 1888-1889, kst str JD 1888, str S 1896-1897, str ID 1897-1898",
Olsen,Olai Johan,1851-1920,str,S,1896-1897,"Olsen, Olai Johan (1851-1920) kst str FIN 1888, str FIN 1888-1889, kst str JD 1888, str S 1896-1897, str ID 1897-1898",
Olsen,Olai Johan,1851-1920,str,ID,1897-1898,"Olsen, Olai Johan (1851-1920) kst str FIN 1888, str FIN 1888-1889, kst str JD 1888, str S 1896-1897, str ID 1897-1898",
Olsen,Per Gunnar,1950-,pers sekr,SD,1989,"Olsen, Per Gunnar (1950-) pers sekr SD 1989",
Olsen,Reidar Engell,1933-,stsekr,IND,1973-1976,"Olsen, Reidar Engell (1933-) stsekr IND 1973-1976, stsekr IND 1976-1979",
Olsen,Reidar Engell,1933-,stsekr,IND,1976-1979,"Olsen, Reidar Engell (1933-) stsekr IND 1973-1976, stsekr IND 1976-1979",
Olsen,Sven,1922-,stsekr,FID,1971-1972,"Olsen, Sven (1922-) stsekr FID 1971-1972",
Olsen,Trygve Jens Asbjørn,1921-1979,str,FID,1972-1973,"Olsen, Trygve Jens Asbjørn (1921-1979) str FID 1972-1973",
Olssøn,Christian Wilhelm Engel Bredal,1844-1915,str,FD,1893-1894,"Olssøn, Christian Wilhelm Engel Bredal (1844-1915) str FD 1893-1894, str S 1894-1895, str FD 1895, str FD 1895-1898, str FD 1905-1907",
Olssøn,Christian Wilhelm Engel Bredal,1844-1915,str,S,1894-1895,"Olssøn, Christian Wilhelm Engel Bredal (1844-1915) str FD 1893-1894, str S 1894-1895, str FD 1895, str FD 1895-1898, str FD 1905-1907",
Olssøn,Christian Wilhelm Engel Bredal,1844-1915,str,FD,1895,"Olssøn, Christian Wilhelm Engel Bredal (1844-1915) str FD 1893-1894, str S 1894-1895, str FD 1895, str FD 1895-1898, str FD 1905-1907",
Olssøn,Christian Wilhelm Engel Bredal,1844-1915,str,FD,1895-1898,"Olssøn, Christian Wilhelm Engel Bredal (1844-1915) str FD 1893-1894, str S 1894-1895, str FD 1895, str FD 1895-1898, str FD 1905-1907",
Olssøn,Christian Wilhelm Engel Bredal,1844-1915,str,FD,1905-1907,"Olssøn, Christian Wilhelm Engel Bredal (1844-1915) str FD 1893-1894, str S 1894-1895, str FD 1895, str FD 1895-1898, str FD 1905-1907",
Omholt,Anton Thorkildsen,1861-1925,str,FIN,1913-1920,"Omholt, Anton Thorkildsen (1861-1925) str FIN 1913-1920",
Onarheim,Onar Selmer,1910-1988,str,FID,1963,"Onarheim, Onar Selmer (1910-1988) str FID 1963",
Opsal,"Kari-Anne - tidligere Larsen, Kari-Anne",1967-,pol rådg,FKD,2005-2007,"Opsal, Kari-Anne - tidligere Larsen, Kari-Anne (1967-) pol rådg FKD 2005-2007, kst. stsekr FKD 2006-2007",
Opsal,"Kari-Anne - tidligere Larsen, Kari-Anne",1967-,kst stsekr,FKD,2006-2007,"Opsal, Kari-Anne - tidligere Larsen, Kari-Anne (1967-) pol rådg FKD 2005-2007, kst. stsekr FKD 2006-2007",
Opseth,Kjell Olav,1936-,str,SD,1990-1996,"Opseth, Kjell Olav (1936-) str SD 1990-1996, str KAD 1996-1997",
Opseth,Kjell Olav,1936-,str,KAD,1996-1997,"Opseth, Kjell Olav (1936-) str SD 1990-1996, str KAD 1996-1997",
error,,,,,,"Orheim, Karita Bekkemellem - se Bekkemellem, Karita",
Orskaug,Erik,1956-,stsekr,KOM,1992,"Orskaug, Erik (1956-) stsekr KOM 1992, stsekr KAD 1993-1996, stsekr MD 1997",
Orskaug,Erik,1956-,stsekr,KAD,1993-1996,"Orskaug, Erik (1956-) stsekr KOM 1992, stsekr KAD 1993-1996, stsekr MD 1997",
Orskaug,Erik,1956-,stsekr,MD,1997,"Orskaug, Erik (1956-) stsekr KOM 1992, stsekr KAD 1993-1996, stsekr MD 1997",
error,,,,,,"Oscar Joseph Franz - senere Oscar I (1799-1859) vk 1824, vk 1833",
error,,,,,,Oscar I (1799-1859)konge 1844-1859,
error,,,,,,Oscar II (1829-1907) konge 1872-1905,
Osmundsen,Terje,1957-,pers sekr,SMK,1981-1983,"Osmundsen, Terje (1957-) pers sekr SMK 1981-1983, pers rådg SMK 1983-1985",
Osmundsen,Terje,1957-,pers rådg,SMK,1983-1985,"Osmundsen, Terje (1957-) pers sekr SMK 1981-1983, pers rådg SMK 1983-1985",
Ostling,Kjetil Andreas,1973-,stsekr,BLD,2012-2013,"Ostling, Kjetil Andreas (1973-)stsekr BLD 2012-2013",
Ottervik,Rita,1966-,pol rådg,SMK,1996-1997,"Ottervik, Rita (1966-) pol rådg SMK 1996-1997",
Ottesen,Atle,1978-,pol rådg,FD,2012-2013,"Ottesen, Atle (1978-)pol rådg FD 2012-2013",
Overvaag,Harald H.,1940-,pers rådg,SOS,1981-1985,"Overvaag, Harald H. (1940-) pers rådg SOS 1981-1985, stsekr SOS 1985-1986",
Overvaag,Harald H.,1940-,stsekr,SOS,1985-1986,"Overvaag, Harald H. (1940-) pers rådg SOS 1981-1985, stsekr SOS 1985-1986",
Ovesen,Vidar,1966-,stsekr,FIN,2000-2001,"Ovesen, Vidar (1966-) stsekr FIN 2000-2001",
Oxholm,Svein Erik,1938-,pers sekr,SOS,1976,"Oxholm, Svein Erik (1938-) pers sekr SOS 1976, pers rådg SOS 1976-1977",
Oxholm,Svein Erik,1938-,pers rådg,SOS,1976-1977,"Oxholm, Svein Erik (1938-) pers sekr SOS 1976, pers rådg SOS 1976-1977",
Paulsen,Line Gaare,1971-,pol rådg,BLD,2009-2012,"Paulsen, Line Gaare (1971-)pol rådg BLD 2009-2012, pol rådg BLD 2012, kst stsekr MD 2013",
Paulsen,Line Gaare,1971-,pol rådg,BLD,2012,"Paulsen, Line Gaare (1971-)pol rådg BLD 2009-2012, pol rådg BLD 2012, kst stsekr MD 2013",
Paulsen,Line Gaare,1971-,kst stsekr,MD,2013,"Paulsen, Line Gaare (1971-)pol rådg BLD 2009-2012, pol rådg BLD 2012, kst stsekr MD 2013",
Paulsen,Paul Ivar,1868-1938,error,,,"Paulsen, Paul Ivar (1868-1938) stmsekr 1903-1905, stmsekr 1905-1906",
Paulsen,Paul Ivar,1868-1938,stmsekr,,1905,"Paulsen, Paul Ivar (1868-1938) stmsekr 1903-1905, stmsekr 1905-1906",
Paulsrud,Kari,1957-,pers sekr,KUF,1992,"Paulsrud, Kari (1957-) pers sekr KUF 1992, pol rådg KUF 1992-1994, stsekr KUD 1994-1995, stsekr SHD (he) 1995-1996, stsekr SHD (he) 1996-1997",
Paulsrud,Kari,1957-,pol rådg,KUF,1992-1994,"Paulsrud, Kari (1957-) pers sekr KUF 1992, pol rådg KUF 1992-1994, stsekr KUD 1994-1995, stsekr SHD (he) 1995-1996, stsekr SHD (he) 1996-1997",
Paulsrud,Kari,1957-,stsekr,KUD,1994-1995,"Paulsrud, Kari (1957-) pers sekr KUF 1992, pol rådg KUF 1992-1994, stsekr KUD 1994-1995, stsekr SHD (he) 1995-1996, stsekr SHD (he) 1996-1997",
Paulsrud,Kari,1957-,stsekr,SHD (he),1995-1996,"Paulsrud, Kari (1957-) pers sekr KUF 1992, pol rådg KUF 1992-1994, stsekr KUD 1994-1995, stsekr SHD (he) 1995-1996, stsekr SHD (he) 1996-1997",
