2025,1428,MAKO,Martin,Kolberg,,,21,154,,Buskerud fylke,,,,,,
31257,,METH,Mette,Hanekamhaug,,,81,154,,Møre og Romsdal fylke,,,,,,
31275,,MIT,Michael,Tetzschner,,,71,154,,Oslo,3,,,,,
30420,4026,MORH,Morten,Høglund,Ekspeditør,Office clerk,81,154,2900,Akershus fylke,2,,,,,
30119,5004203,MOJ,Morten Ørsal,Johansen,"Prosessutvikler, fagarbeider","Process developer, skilled worker",81,154,5900,Oppland fylke,,1,,,,
30762,5004606,NA,Nikolai,Astrup,,,71,154,3900,Oslo,,,,,,
30118,5004214,OBM,Ola Borten,Moe,"Student, gårdbruker","Student, farmer",41,154,16900,Sør-Trøndelag fylke,7,,,,,
27163,2505,OLET,Olemic,Thommessen,"Daglig leder, advokat","Manager, lawyer",71,154,5900,Oppland fylke,7,,,,,
26825,856,OG,Oskar J.,Grimstad,Blikkenslager,Tinsmith,81,154,15900,Møre og Romsdal fylke,,4,,,,
2333,2134,PES,Per,Sandberg,Prosessoperatør/industriarbeider,Process operator / industrial worker,81,154,16900,Sør-Trøndelag fylke,3,,,,,
30159,5004243,PO,Per Arne,Olsen,,,81,154,7900,Vestfold fylke,2,,,,,
2134,1624,POL,Per Olaf,Lundteigen,Gardbrukar,Farmer,41,154,6900,Buskerud fylke,9,,,,,2
2330,389,PB,Per Roar,Bredvold,Selvstendig næringsdrivende,Self-employed,81,154,4900,Hedmark fylke,3,,,,,
30788,5004358,PRH,Per Rune,Henriksen,Tømrer/organisasjonssekretær,Carpenter / organizational secretary,21,154,12900,Hordaland fylke,7,,,,,
204,728,PKF,Per-Kristian,Foss,Konsulent/statsråd cand.mag,"Consultant, Councillor of State, cand.mag",71,154,3900,Oslo,2,,,,2,
30162,5004246,PTA,Per-Willy,Amundsen,"Programutvikler, privat næringsdri","Program developer, self-employed",81,154,19900,Troms fylke,4,,,,,
27008,1759,PEMY,Peter N.,Myhre,"Byråd, konsulent","City councillor, consultant",81,154,3900,Oslo,,1,,,,
30151,5004235,PEG,Peter Skovholt,Gitmark,Student,Student,71,154,10900,Vest-Agder fylke,4,,,,,
31108,,RIAJ,Rigmor,Aasrud,,,21,154,,Oppland fylke,2,,,,,
30163,5004247,RAE,Rigmor Andersen,Eide,"Adm.leder, daglig leder","General director, manager",51,154,15900,Møre og Romsdal fylke,,2,,,,
4091,638,RE,Robert,Eriksson,Daglig leder,Manager,81,154,17900,Nord-Trøndelag fylke,4,,,,,
2218,973,SOH,Sigvald Oppebøen,Hansen,landpostbud,Rural postman,21,154,8900,Telemark fylke,1,,,,,
30427,4033,SME,Siri A.,Meling,"Nestleder, siviløkonom","Vice-chairman, Master of Business Administration",71,154,11900,Rogaland fylke,,1,,,,
2311,1289,SIVJ,Siv,Jensen,"Gruppesekretær, diplomøkonom","Group secretary, graduate economist",81,154,3900,Oslo,9,,,,,
31278,,SNV,Snorre Serigstad,Valen,,,14,154,,Sør-Trøndelag fylke,1,,,,,
